[﻿༄༅༅། །​ _87_],﻿༄༅༅། །​ _87_,﻿༄༅༅། །​ _87_,﻿༄༅༅། །​_12_,﻿༄༅༅། །​ _87_,﻿༄༅༅། །​ _87_,﻿༄༅༅། །​ _87_,﻿༄༅༅། །​ _87_
[རྒྱ་_100_],རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_
[གར་_100_],གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
པཉྩ།སྐན་དྷ་_25_,པཉྩ།སྐན་དྷ་_25_,པཉྩ་སྐནྡྷ་_25_,པཉྩ་སྐནདྷ་_12_,པཉྩ་སྐནྡྷ་_25_,[པཉྩ་སྐན་དྷ་_37_],པཉྩ་སྐན་དྷ་_37_,པཉྩ་སྐན་དྷ་_37_
[པྲ་_100_],པྲ་_100_,པྲ་_100_,པྲ་_100_,པྲ་_100_,པྲ་_100_,པྲ་_100_,པྲ་_100_
[ཀ་_75_],ཀ་_75_,ཀཱ་_25_,ཀ་_75_,ཀཱ་_25_,ཀ་_75_,ཀ་_75_,ཀ་_75_
[ར་_100_],ར་_100_,ར་_100_,ར་_100_,ར་_100_,ར་_100_,ར་_100_,ར་_100_
[ཎ_100_],ཎ_100_,ཎ_100_,ཎ_100_,ཎ_100_,ཎ_100_,ཎ_100_,ཎ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[བོད་_100_],བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[ཕུང་_100_],ཕུང་_100_,ཕུང་_100_,ཕུང་_100_,ཕུང་_100_,ཕུང་_100_,ཕུང་_100_,ཕུང་_100_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_
[ལྔའི་_100_],ལྔའི་_100_,ལྔའི་_100_,ལྔའི་_100_,ལྔའི་_100_,ལྔའི་_100_,ལྔའི་_100_,ལྔའི་_100_
[རབ་_100_],རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_
